date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01 00:00:00,13.7,,,,,,5.2,,1023.5,
2016-01-02 00:00:00,15.1,10.6,19.4,0,,,14.9,,1021.1,
2016-01-03 00:00:00,15.7,11.9,19.7,0,,,12.2,,1018.2,
2016-01-04 00:00:00,17.3,13.7,19.8,0.1,,,41.4,,1010.4,
2016-01-05 00:00:00,15.9,11.3,20.4,,,,28.9,,1007.9,
2016-01-06 00:00:00,13,8.4,16.8,0,,,16.1,,1018,
2016-01-07 00:00:00,12.9,7.4,18.4,0,,,5.6,,1018.4,
2016-01-08 00:00:00,13.7,8.5,17.7,0,,,17.1,,1015.1,
2016-01-09 00:00:00,15.9,13.2,18.6,0,,,23.9,,1012.8,
2016-01-10 00:00:00,14.4,8,18.3,0,,,24.9,,1015.1,
2016-01-11 00:00:00,16.1,13.2,18.4,0,,,43.6,,1014.6,
2016-01-12 00:00:00,13.6,9.3,18.3,0,,,9.2,,1021.8,
2016-01-13 00:00:00,13.1,8.9,19,0,,,14.9,,1026,
2016-01-14 00:00:00,12.2,6.9,16.7,0,,,10.1,,1021,
2016-01-15 00:00:00,13.9,11.6,18.3,1.3,,,7.8,,1019.2,
2016-01-16 00:00:00,12.3,7.1,18,0,,,15.2,,1028,
2016-01-17 00:00:00,9.5,4.9,15.5,0,,,13.7,,1027.2,
2016-01-18 00:00:00,12.1,7,17.6,0,,,5.7,,1018.9,
2016-01-19 00:00:00,13.2,9.4,17.7,0,,,7.6,,1018.1,
2016-01-20 00:00:00,12.6,8.8,16.8,0,,,13.3,,1017.8,
2016-01-21 00:00:00,13.2,7.9,17.6,0,,,5.2,,1022.1,
2016-01-22 00:00:00,13.4,9.7,18.4,0,,,8.6,,1028.9,
2016-01-23 00:00:00,15,9.5,21.6,0,,,11.3,,1032.7,
2016-01-24 00:00:00,14.3,9.9,19.2,0,,,7.9,,1032.6,
2016-01-25 00:00:00,13.2,9.6,17.5,0,,,7,,1031.6,
2016-01-26 00:00:00,13.7,11.3,16.2,0,,,,,,
2016-01-27 00:00:00,13,9.5,18.5,0,,,10.8,,1029.7,
2016-01-28 00:00:00,12.9,8.6,18.3,0,,,9.4,,1029.5,
2016-01-29 00:00:00,14,10.6,17.1,0.1,,,10.5,,1030.2,
2016-01-30 00:00:00,14.4,9.9,20.5,0,,,9.7,,1032.4,
2016-01-31 00:00:00,12.8,7.1,18.3,0,,,6.2,,1031.9,
2016-02-01 00:00:00,13.3,9.2,20.5,0,,,4.4,,1030.9,
2016-02-02 00:00:00,14,9.2,18.2,0,,,8.1,,1027.7,
2016-02-03 00:00:00,13.3,8.3,16.4,0,,,6.1,,1026.8,
2016-02-04 00:00:00,14.3,11.5,17.9,0,,,21,,1032.8,
2016-02-05 00:00:00,14.3,10.8,18.9,0,,,17.1,,1027.9,
2016-02-06 00:00:00,13.6,10.4,16.8,0,,,11.7,,1023.2,
2016-02-07 00:00:00,16.7,12.4,20.9,0,,,23.3,,1019.2,
2016-02-08 00:00:00,13.6,9.4,18.9,0,,,7.4,,1025.9,
2016-02-09 00:00:00,14,7.9,20.4,0,,,15,,1022.3,
2016-02-10 00:00:00,16.4,12.8,21.1,0,,,17.5,,1018.1,
2016-02-11 00:00:00,15.3,11.7,19.5,0.3,,,18.8,,1015.3,
2016-02-12 00:00:00,14.8,10.3,18.6,0,,,22.4,,1015,
2016-02-13 00:00:00,15.8,12.9,19.4,0,,,30.7,,1012,
2016-02-14 00:00:00,15.2,11.1,20.6,0.2,,,48.1,,1005.9,
2016-02-15 00:00:00,12.6,10.4,16.8,0,,,23.1,,1010.7,
2016-02-16 00:00:00,11,5.8,15.6,0,,,19.4,,1022.7,
2016-02-17 00:00:00,10.7,6.3,14.8,0,,,21,,1023.6,
2016-02-18 00:00:00,10.7,6.1,14.9,0,,,8.5,,1018.4,
2016-02-19 00:00:00,13.7,11.4,16.9,0,,,25.2,,1021.5,
2016-02-20 00:00:00,14.7,12.9,17,0,,,34.4,,1025.9,
2016-02-21 00:00:00,16.3,13.2,20.6,0,,,20,,1024.1,
2016-02-22 00:00:00,14.9,11.1,18.8,0,,,9.4,,1019.4,
2016-02-23 00:00:00,15.1,10.4,21.3,0,,,5.9,,1024,
2016-02-24 00:00:00,13.2,8,17.5,0,,,17.5,,1019.5,
2016-02-25 00:00:00,14.5,9.8,19.2,0,,,14.2,,1017.7,
2016-02-26 00:00:00,13.2,7.9,16.9,3.1,,,22.3,,1012.4,
2016-02-27 00:00:00,11.1,6.2,15.6,0,,,22.8,,1000,
2016-02-28 00:00:00,12.8,8.3,17.6,0,,,23.5,,1004.3,
2016-02-29 00:00:00,15.4,11.6,18.8,0,,,25.9,,1015,
2016-03-01 00:00:00,13.3,9,17.4,0,,,10.2,,1024.3,
2016-03-02 00:00:00,12.6,7.6,17.3,0,,,6.9,,1022.6,
2016-03-03 00:00:00,14.6,9.2,21.7,0,,,8.2,,1016.8,
2016-03-04 00:00:00,13.9,9.2,18,0,,,13.5,,1011.4,
2016-03-05 00:00:00,15.4,12,19.5,0,,,19.3,,1008.6,
2016-03-06 00:00:00,14,10.5,18.2,0,,,18.9,,1013.1,
2016-03-07 00:00:00,12.4,10,15.6,2.7,,,21.3,,1008.7,
2016-03-08 00:00:00,13.5,7.9,18.4,0,,,16.1,,1015.8,
2016-03-09 00:00:00,12.8,6.6,17.6,,,,21.2,,1017,
2016-03-10 00:00:00,15.2,10.2,18.9,0,,,22.8,,1012.9,
2016-03-11 00:00:00,13.5,9.4,18.3,0,,,14.8,,1018.3,
2016-03-12 00:00:00,12.1,7.8,16.9,0,,,11.6,,1020.8,
2016-03-13 00:00:00,12.1,7.6,17,0,,,11.9,,1019.4,
2016-03-14 00:00:00,12.2,7.7,17.3,0,,,9.7,,1016.9,
2016-03-15 00:00:00,13,8.7,17.8,0,,,13.6,,1018.6,
2016-03-16 00:00:00,15.3,10.4,19.2,0,,,11.4,,1016.4,
2016-03-17 00:00:00,15.3,10,19.7,0,,,13.7,,1018.3,
2016-03-18 00:00:00,14.6,12.1,18.1,0,,,8.4,,1017.3,
2016-03-19 00:00:00,15.2,12.6,17.8,0,,,18.6,,1014.3,
2016-03-20 00:00:00,14.7,11.2,18.3,0,,,10.1,,1013.1,
2016-03-21 00:00:00,12.9,10.5,15.7,0.1,,,8.5,,1010.7,
2016-03-22 00:00:00,13.8,11.2,17.5,0,,,8.9,,1007.3,
